file_name,corpus_origin,total_words,postural_contortion_raw_count,postural_contortion_density_10k,apparatus_pole_raw_count,apparatus_pole_density_10k,subaltern_tribal_raw_count,subaltern_tribal_density_10k,poison_necromancy_raw_count,poison_necromancy_density_10k,sorcery_magic_raw_count,sorcery_magic_density_10k,espionage_subversion_raw_count,espionage_subversion_density_10k,climbing_leaping_raw_count,climbing_leaping_density_10k,caravan_trade_transit_raw_count,caravan_trade_transit_density_10k
udana_u.htm,GRETIL,23370,34,14.55,2,0.86,0,0.0,41,17.54,1,0.43,49,20.97,0,0.0,2,0.86
pm186__u.htm,GRETIL,9828,0,0.0,0,0.0,3,3.05,0,0.0,0,0.0,3,3.05,0,0.0,0,0.0
pm136a_u.htm,GRETIL,15621,0,0.0,0,0.0,30,19.2,0,0.0,3,1.92,11,7.04,0,0.0,0,0.0
hv_apppu.htm,GRETIL,206204,165,8.0,110,5.33,21,1.02,758,36.76,153,7.42,167,8.1,2,0.1,51,2.47
abhisdhu.htm,GRETIL,34103,135,39.59,9,2.64,0,0.0,18,5.28,5,1.47,55,16.13,0,0.0,21,6.16
paninixu.htm,GRETIL,21447,3,1.4,3,1.4,1,0.47,23,10.72,6,2.8,22,10.26,0,0.0,11,5.13
stkal_iu.htm,GRETIL,4595,10,21.76,0,0.0,0,0.0,9,19.59,7,15.23,4,8.71,1,2.18,3,6.53
harinc_u.htm,GRETIL,16422,5,3.04,11,6.7,0,0.0,30,18.27,95,57.85,36,21.92,0,0.0,15,9.13
b12c274.htm,GRETIL,137,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,145.99,0,0.0,0,0.0
sa_zukasaptati.htm,GRETIL,18965,1,0.53,5,2.64,1,0.53,83,43.76,35,18.46,13,6.85,1,0.53,38,20.04
hdas_u.htm,GRETIL,1141,0,0.0,0,0.0,0,0.0,6,52.59,2,17.53,4,35.06,0,0.0,0,0.0
angutt1u.htm,GRETIL,103141,216,20.94,7,0.68,2,0.19,238,23.08,43,4.17,115,11.15,0,0.0,10,0.97
prakassu.htm,GRETIL,19084,28,14.67,10,5.24,0,0.0,75,39.3,46,24.1,47,24.63,0,0.0,12,6.29
dhatukpu.htm,GRETIL,23276,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.86,0,0.0,0,0.0
sa_prAtimokSasUtra-of-the-lokottaravAdimahAsaGghika.htm,GRETIL,8446,15,17.76,0,0.0,0,0.0,4,4.74,0,0.0,3,3.55,0,0.0,4,4.74
jinava_u.htm,GRETIL,31875,47,14.75,7,2.2,0,0.0,71,22.27,19,5.96,138,43.29,1,0.31,18,5.65
mjnya03u.htm,GRETIL,20673,0,0.0,9,4.35,0,0.0,65,31.44,26,12.58,19,9.19,0,0.0,4,1.93
sa_vasubandhu-madhyAntavibhAgakArikAbhASya.htm,GRETIL,7588,0,0.0,0,0.0,0,0.0,51,67.21,15,19.77,11,14.5,0,0.0,21,27.68
b10c007.htm,GRETIL,142,0,0.0,0,0.0,0,0.0,1,70.42,2,140.85,0,0.0,0,0.0,0,0.0
hattha_u.htm,GRETIL,5230,9,17.21,5,9.56,0,0.0,19,36.33,0,0.0,13,24.86,0,0.0,1,1.91
b06c095.htm,GRETIL,119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
patdukpu.htm,GRETIL,63979,66,10.32,55,8.6,0,0.0,56,8.75,0,0.0,0,0.0,0,0.0,0,0.0
udnyku3u.htm,GRETIL,5689,0,0.0,0,0.0,0,0.0,62,108.98,15,26.37,9,15.82,0,0.0,0,0.0
byogalbu.htm,GRETIL,22028,25,11.35,1,0.45,1,0.45,43,19.52,0,0.0,7,3.18,0,0.0,3,1.36
sspp2_4u.htm,GRETIL,59412,4,0.67,1,0.17,1,0.17,65,10.94,25,4.21,325,54.7,0,0.0,104,17.5
laghbh_u.htm,GRETIL,14997,32,21.34,9,6.0,0,0.0,50,33.34,26,17.34,15,10.0,1,0.67,3,2.0
svetugau.htm,GRETIL,2973,0,0.0,0,0.0,0,0.0,5,16.82,2,6.73,2,6.73,0,0.0,1,3.36
dasaveyu.htm,GRETIL,10452,0,0.0,8,7.65,0,0.0,10,9.57,10,9.57,9,8.61,0,0.0,0,0.0
b13c107.htm,GRETIL,311,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,32.15,0,0.0,0,0.0
b12c314.htm,GRETIL,112,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
bsu034_u.htm,GRETIL,50777,42,8.27,29,5.71,0,0.0,246,48.45,13,2.56,145,28.56,0,0.0,61,12.01
sa_nAgArjuna-vigrahavyAvartanI-alt.htm,GRETIL,1670,0,0.0,0,0.0,0,0.0,3,17.96,2,11.98,0,0.0,0,0.0,0,0.0
mandup_u.htm,GRETIL,565,0,0.0,0,0.0,0,0.0,2,35.4,0,0.0,0,0.0,0,0.0,0,0.0
tttvsamu.htm,GRETIL,834,0,0.0,1,11.99,0,0.0,8,95.92,0,0.0,9,107.91,0,0.0,0,0.0
