Source_Repo,Text_Layer,Total_Chars,pithasarpin_crawler_Count,vaṃśanartin_pole_Count,stambha_axis_Count,sarpa_serpent_Count,candala_outcaste_Count,merudanda_spine_Count,vamsadanda_pneumatics_Count,bandha_valves_Count,candali_reversion_Count,Contextual_Entropy_H
raw_gretil,sa_candragomin-ziSyalekha.htm,20601,0,0,0,1,0,0,0,0,0,4.243
raw_gretil,viprud_u.htm,276145,0,0,9,5,0,0,0,0,0,7.248
raw_gretil,hbhvil_u.htm,587815,0,0,6,15,6,0,0,1,0,8.71
raw_gretil,sa_RgvidhAna.htm,85840,0,0,0,3,0,0,0,0,0,6.366
raw_gretil,sa_rASTrapAlaparipRcchA.htm,83279,0,0,0,1,0,0,0,0,0,4.524
raw_gretil,jatak2pu.htm,849832,0,0,23,0,12,2,0,0,0,7.81
raw_gretil,abhtantu.htm,109954,0,0,1,0,0,0,0,0,0,4.97
raw_gretil,sa_mAlinIvijayottaratantra.htm,138143,0,0,1,2,0,0,0,0,0,5.864
raw_gretil,sa_vimalakIrtinirdezasUtra.htm,165376,0,0,1,1,0,0,0,0,0,4.969
raw_gretil,kamvchtu.htm,171145,0,0,0,1,0,0,0,0,3,6.174
raw_gretil,b01c001.htm,55654,0,0,1,1,0,0,0,0,0,4.146
raw_gretil,sa_mahAsaMnipAtaratnaketudhAraNIsUtra1-610-11.htm,141955,0,0,0,0,1,0,0,0,1,4.52
raw_gretil,vytrkt1u.htm,847958,0,0,12,1,0,0,0,0,0,6.867
raw_gretil,sa_abhinanda-rAmacaritamahAkAvye.htm,78685,0,0,0,4,0,0,0,0,0,5.463
raw_gretil,mwes_u.htm,6200667,1,0,376,184,3,2,8,15,2,9.822
raw_gretil,vimkn_u.htm,169356,0,0,1,0,0,0,0,0,0,4.431
raw_gretil,mbh_03_u.htm,1590343,1,0,9,71,0,0,0,0,0,8.998
raw_gretil,sa_harivaMza-app1.htm,1553006,0,0,16,30,1,0,0,0,0,7.358
raw_gretil,bsa048_u.htm,24680,0,0,1,0,0,0,0,0,0,3.7
raw_gretil,b12c115.htm,5135,0,0,0,1,0,0,0,0,0,3.831
raw_gretil,b07c050.htm,19189,0,0,0,1,0,0,0,0,0,3.864
raw_gretil,b07c078.htm,10633,0,0,1,1,0,0,0,0,0,4.337
raw_gretil,mbhx_22.htm,304216,0,0,0,1,0,0,0,0,0,2.899
raw_gretil,mbhx_36.htm,562200,0,0,1,5,0,0,0,0,0,3.06
